;;;11/10/21;;;11/10/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/10/21;
;;;;;;;;;;;;;;;;;;;
;;ARANCIO;;;AZZURRA;;;GIALLA;;;MARRONE;;;ROSA;;;VERDE;;
1/1/22;sabato;;;;;;;;;;;;;;;;;;
1/2/22;domenica;;;;;;;;;;;;;;;;;;
1/3/22;lunedì;;;;UMIDO;;;;;;SECCO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;
1/4/22;martedì;UMIDO;PLASTICA/LATTINE;;;;;UMIDO;;;UMIDO;;;;;;;;
1/5/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
1/6/22;giovedì;;;;;;;;;;;;;;;;;;
1/7/22;venerdì;UMIDO;VETRO;;;PLASTICA/LATTINE;;UMIDO;VETRO;;UMIDO;;;;;;;SECCO;
1/8/22;sabato;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
1/9/22;domenica;;;;;;;;;;;;;;;;;;
1/10/22;lunedì;;;;UMIDO;SECCO;;;;;;CARTA;;UMIDO;;;UMIDO;;
1/11/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
1/12/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
1/13/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;
1/14/22;venerdì;UMIDO;;;VETRO;CARTA;;UMIDO;;;UMIDO;;;;SECCO;;;;
1/15/22;sabato;;;;;;;;;;;;;;;;;;
1/16/22;domenica;;;;;;;;;;;;;;;;;;
1/17/22;lunedì;;;;UMIDO;;;;;;SECCO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;
1/18/22;martedì;UMIDO;PLASTICA/LATTINE;;;;;UMIDO;;;UMIDO;;;;;;;;
1/19/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
1/20/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
1/21/22;venerdì;UMIDO;;;;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;;;VETRO;;VETRO;SECCO;
1/22/22;sabato;;;;;;;;;;;;;;;;;;
1/23/22;domenica;;;;;;;;;;;;;;;;;;
1/24/22;lunedì;;;;UMIDO;SECCO;;;;;;CARTA;;UMIDO;;;UMIDO;;
1/25/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
1/26/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
1/27/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;
1/28/22;venerdì;UMIDO;;;;CARTA;;UMIDO;;;UMIDO;VETRO;;;SECCO;;;;
1/29/22;sabato;;;;;;;;;;;;;;;;;;
1/30/22;domenica;;;;;;;;;;;;;;;;;;
1/31/22;lunedì;;;;UMIDO;;;;;;SECCO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;
2/1/22;martedì;UMIDO;PLASTICA/LATTINE;;;;;UMIDO;;;UMIDO;;;;;;;;
2/2/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
2/3/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
2/4/22;venerdì;UMIDO;VETRO;;;PLASTICA/LATTINE;;UMIDO;VETRO;;UMIDO;;;;;;;SECCO;
2/5/22;sabato;;;;;;;;;;;;;;;;;;
2/6/22;domenica;;;;;;;;;;;;;;;;;;
2/7/22;lunedì;;;;UMIDO;SECCO;;;;;;CARTA;;UMIDO;;;UMIDO;;
2/8/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
