;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;
;;CONEGLIANO;;;;;;;;;;;;;;;;;;;;;;;;;;
;;CELESTE;;;BLU;;;VERDE;;;GIALLA;;;MARRONE;;;LILLA;;;ROSSA 1;;;ROSSA 2;;;ARANCIONE;;
1/1/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/2/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/3/22;lunedì;;;;UMIDO;VETRO 1;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;;;
1/4/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;CARTA;;;VETRO;;;;
1/5/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
1/6/22;giovedì;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/7/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
1/8/22;sabato;VETRO 1;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;UMIDO + SECCO;CARTA;PLASTICA/LATTINE
1/9/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/10/22;lunedì;;;;UMIDO;;;;VETRO 1;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;;;
1/11/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 2;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
1/12/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 2;;;;;;;;;SECCO;;UMIDO;;
1/13/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 2;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
1/14/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
1/15/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
1/16/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/17/22;lunedì;;;;UMIDO;VETRO 2;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;;;
1/18/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;VETRO;CARTA;;;;;;;
1/19/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
1/20/22;giovedì;VETRO 2;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
1/21/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
1/22/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
1/23/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/24/22;lunedì;;;;UMIDO;;;;VETRO 2;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;;;
1/25/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 1;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
1/26/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 1;;;;;;;;;SECCO;;UMIDO;;
1/27/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 1;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
1/28/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
1/29/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
1/30/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/31/22;lunedì;;;;UMIDO;VETRO 1;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;;;
2/1/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;CARTA;;;VETRO;;;;
2/2/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
