;;;;;;;;;;;;;
;;MATTINA;;POMERIGGIO;;;;;;MATTINA;;POMERIGGIO;
;;dalle 7.00 alle 11.00;;dalle 16.00 alle 20.00;;;;;;dalle 7.00 alle 11.00;;dalle 16.00 alle 20.00;
1/1/22;sabato;;;;;;;;;;;;
1/2/22;domenica;;;;;;;1/6/22;giovedì;;;;
1/3/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;4/18/22;lunedì;;;;
1/4/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;4/25/22;lunedì;;;;
1/5/22;mercoledì;MARRONE;BIANCA;;;;;6/2/22;giovedì;;;;
1/6/22;giovedì;;;;;;;8/15/22;lunedì;;;;
1/7/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;11/1/22;martedì;;;;
1/8/22;sabato;;;;;;;12/8/22;giovedì;;;;
1/9/22;domenica;;;;;;;12/26/22;lunedì;;;;
1/10/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
1/11/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
1/12/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
1/13/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
1/14/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
1/15/22;sabato;;;;;;;;;;;;
1/16/22;domenica;;;;;;;;;;;;
1/17/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
1/18/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
1/19/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
1/20/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
1/21/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
1/22/22;sabato;;;;;;;;;;;;
1/23/22;domenica;;;;;;;;;;;;
1/24/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
1/25/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
1/26/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
1/27/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
1/28/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
1/29/22;sabato;;;;;;;;;;;;
1/30/22;domenica;;;;;;;;;;;;
1/31/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
2/1/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
2/2/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
2/3/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
2/4/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
2/5/22;sabato;;;;;;;;;;;;
2/6/22;domenica;;;;;;;;;;;;
2/7/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
2/8/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
2/9/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
2/10/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
2/11/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
2/12/22;sabato;;;;;;;;;;;;
2/13/22;domenica;;;;;;;;;;;;
2/14/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
2/15/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
2/16/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
2/17/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
2/18/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
2/19/22;sabato;;;;;;;;;;;;
2/20/22;domenica;;;;;;;;;;;;
2/21/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
2/22/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
2/23/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
2/24/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
2/25/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
2/26/22;sabato;;;;;;;;;;;;
2/27/22;domenica;;;;;;;;;;;;
2/28/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
3/1/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
3/2/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
3/3/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
3/4/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
3/5/22;sabato;;;;;;;;;;;;
3/6/22;domenica;;;;;;;;;;;;
3/7/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
3/8/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
3/9/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
3/10/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
3/11/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
3/12/22;sabato;;;;;;;;;;;;
3/13/22;domenica;;;;;;;;;;;;
3/14/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
